rank,eng,deu,fra,ita,nld,por,spa
5330,advertisers,Werbetreibender,annonceur,inserzionista,adverteerder,anunciante,anunciante
5331,moments,Moment,moment,momento,moment,momento,momento
5333,strings,Schnur,ficelle,corda,touw,corda,cuerda
5334,dawn,Morgendämmerung,aube,alba,dageraad,amanhecer,amanecer
5336,observation,Beobachtung,observation,osservazione,observatie,observação,observación
5337,feels,fühlen,sentir,sentire,voelen,sentir,sentir
5338,torture,Folter,torture,tortura,marteling,tortura,tortura
5340,deleted,gelöscht,supprimé,eliminato,verwijderd,eliminado,eliminado
5341,coat,Mantel,manteau,cappotto,jas,casaco,abrigo
5345,restoration,Wiederherstellung,restauration,restauro,herstel,restauração,restauración
5346,convenience,Bequemlichkeit,commodité,comodità,gemak,conveniência,conveniencia
5349,opposition,Opposition,opposition,opposizione,oppositie,oposição,oposición
5350,container,Behälter,conteneur,contenitore,container,recipiente,contenedor
5352,defendant,Angeklagter,accusé,imputato,verdachte,arguido,acusado
5354,confirmation,Bestätigung,confirmation,conferma,bevestiging,confirmação,confirmación
5358,supervisor,Vorgesetzter,superviseur,supervisore,supervisor,supervisor,supervisor
5359,wizard,Zauberer,sorcier,mago,tovenaar,feiticeiro,mago
5361,actors,Schauspieler,acteur,attore,acteur,ator,actor
5362,liver,Leber,foie,fegato,lever,fígado,hígado
5364,liable,haftbar,responsable,responsabile,aansprakelijk,responsável,responsable
5365,brochure,Broschüre,brochure,opuscolo,brochure,brochura,folleto
5367,bestsellers,Bestseller,best-seller,bestseller,bestseller,best-seller,superventas
5368,petition,Petition,pétition,petizione,petitie,petição,petición
5370,recall,Rückruf,rappel,richiamo,terugroepactie,recolha,retirada
5371,antenna,Antenne,antenne,antenna,antenne,antena,antena
5373,assumed,annehmen,supposer,supporre,aannemen,supor,suponer
5374,departure,Abreise,départ,partenza,vertrek,partida,salida
5376,belief,Glaube,croyance,credenza,geloof,crença,creencia
5377,killing,töten,tuer,uccidere,doden,matar,matar
5378,bikini,Bikini,bikini,bikini,bikini,biquíni,bikini
5380,shoulder,Schulter,épaule,spalla,schouder,ombro,hombro
5382,lookup,Nachschlagen,recherche,ricerca,opzoeken,consulta,búsqueda
5383,texts,Text,texte,testo,tekst,texto,texto
5385,brokers,Makler,courtier,intermediario,makelaar,corretor,corredor
5387,ion,Ion,ion,ione,ion,ião,ion
5388,diameter,Durchmesser,diamètre,diametro,diameter,diâmetro,diámetro
5390,doll,Puppe,poupée,bambola,pop,boneca,muñeca
5392,podcast,Podcast,podcast,podcast,podcast,podcast,podcast
5397,refine,verfeinern,raffiner,raffinare,verfijnen,refinar,refinar
5399,singer,Sänger,chanteur,cantante,zanger,cantor,cantante
5402,literacy,Alphabetisierung,alphabétisation,alfabetizzazione,geletterdheid,alfabetização,alfabetización
5406,intervention,Intervention,intervention,intervento,interventie,intervenção,intervención
5410,attraction,Anziehung,attraction,attrazione,aantrekking,atração,atracción
5411,diving,Tauchen,plongée,immersione,duiken,mergulho,buceo
5412,invite,einladen,inviter,invitare,uitnodigen,convidar,invitar
5413,modification,Änderung,modification,modifica,wijziging,modificação,modificación
5419,involve,einbeziehen,impliquer,coinvolgere,betrekken,envolver,involucrar
5420,moderate,gemäßigt,modéré,moderato,gematigd,moderado,moderado
5421,terror,Schrecken,terreur,terrore,terreur,terror,terror
5424,mouse,Maus,souris,topo,muis,rato,ratón
5425,opposite,gegenüber,opposé,opposto,tegenovergesteld,oposto,opuesto
5429,ban,verbieten,interdire,vietare,verbieden,proibir,prohibir
5434,assurance,Versicherung,assurance,assicurazione,verzekering,garantia,garantía
5436,clerk,Angestellter,employé,impiegato,bediende,empregado,empleado
5438,vast,riesig,vaste,vasto,uitgestrekt,vasto,vasto
5440,outline,Umriss,contour,contorno,omtrek,contorno,contorno
5445,jeans,Jeans,jean,jeans,spijkerbroek,jeans,vaqueros
5447,compilation,Zusammenstellung,compilation,raccolta,compilatie,compilação,recopilación
5448,verification,Überprüfung,vérification,verifica,verificatie,verificação,verificación
5449,font,Schriftart,police,carattere,lettertype,fonte,fuente
5451,odd,seltsam,étrange,strano,vreemd,estranho,extraño
5452,wrap,einwickeln,emballer,avvolgere,inpakken,embrulhar,envolver
5454,mood,Stimmung,humeur,umore,stemming,humor,humor
5457,quiz,Quiz,quiz,quiz,quiz,questionário,cuestionario
5461,attractive,attraktiv,attrayant,attraente,aantrekkelijk,atraente,atractivo
5463,occasion,Anlass,occasion,occasione,gelegenheid,ocasião,ocasión
5466,victim,Opfer,victime,vittima,slachtoffer,vítima,víctima
5469,careful,vorsichtig,prudent,attento,voorzichtig,cuidadoso,cuidadoso
5471,beam,Balken,poutre,trave,balk,viga,viga
5472,gardening,Gärtnern,jardinage,giardinaggio,tuinieren,jardinagem,jardinería
5474,arrive,ankommen,arriver,arrivare,aankomen,chegar,llegar
5475,orchestra,Orchester,orchestre,orchestra,orkest,orquestra,orquesta
5479,minimal,minimal,minimal,minimo,minimaal,mínimo,mínimo
5481,lottery,Lotterie,loterie,lotteria,loterij,lotaria,lotería
5486,licence,Lizenz,licence,licenza,licentie,licença,licencia
5487,adjustable,verstellbar,réglable,regolabile,verstelbaar,ajustável,ajustable
5488,allocation,Zuteilung,allocation,assegnazione,toewijzing,alocação,asignación
5490,essay,Aufsatz,essai,saggio,essay,ensaio,ensayo
5491,discipline,Disziplin,discipline,disciplina,discipline,disciplina,disciplina
5495,dialogue,Dialog,dialogue,dialogo,dialoog,diálogo,diálogo
5497,alphabetical,alphabetisch,alphabétique,alfabetico,alfabetisch,alfabético,alfabético
5502,handheld,tragbar,portatif,portatile,draagbaar,portátil,portátil
5503,trace,Spur,trace,traccia,spoor,vestígio,rastro
5505,shut,schließen,fermer,chiudere,sluiten,fechar,cerrar
5512,voluntary,freiwillig,volontaire,volontario,vrijwillig,voluntário,voluntario
5515,consult,konsultieren,consulter,consultare,raadplegen,consultar,consultar
5519,mask,Maske,masque,maschera,masker,máscara,máscara
5521,midnight,Mitternacht,minuit,mezzanotte,middernacht,meia-noite,medianoche
5525,photographer,Fotograf,photographe,fotografo,fotograaf,fotógrafo,fotógrafo
5526,inform,informieren,informer,informare,informeren,informar,informar
5528,coal,Kohle,charbon,carbone,kool,carvão,carbón
5532,quantum,Quantum,quantum,quanto,kwantum,quantum,cuanto
5538,pleasant,angenehm,agréable,piacevole,aangenaam,agradável,agradable
5539,announce,ankündigen,annoncer,annunciare,aankondigen,anunciar,anunciar
5545,arrow,Pfeil,flèche,freccia,pijl,flecha,flecha
5548,rough,rau,rugueux,ruvido,ruw,áspero,áspero
5549,weird,seltsam,étrange,strano,vreemd,estranho,extraño
5552,lion,Löwe,lion,leone,leeuw,leão,león
5556,blade,Klinge,lame,lama,mes,lâmina,hoja
5558,oxygen,Sauerstoff,oxygène,ossigeno,zuurstof,oxigénio,oxígeno
5559,cookie,Keks,biscuit,biscotto,koekje,biscoito,galleta
5561,canyon,Schlucht,canyon,canyon,kloof,desfiladeiro,cañón
5566,arrangement,Anordnung,arrangement,disposizione,regeling,arranjo,arreglo
5569,bibliography,Bibliographie,bibliographie,bibliografia,bibliografie,bibliografia,bibliografía
5572,stretch,dehnen,étirer,allungare,rekken,esticar,estirar
5580,sleeve,Ärmel,manche,manica,mouw,manga,manga
5582,cleaner,Reiniger,nettoyeur,detergente,reiniger,limpador,limpiador
5595,strap,Riemen,sangle,cinghia,riem,correia,correa
5598,crowd,Menge,foule,folla,menigte,multidão,multitud
5601,surf,surfen,surfer,surfare,surfen,surfar,surfear
5603,transformation,Transformation,transformation,trasformazione,transformatie,transformação,transformación
5612,rainbow,Regenbogen,arc-en-ciel,arcobaleno,regenboog,arco-íris,arcoíris
5613,hook,Haken,crochet,gancio,haak,gancho,gancho
5614,roulette,Roulette,roulette,roulette,roulette,roleta,ruleta
5615,decline,ablehnen,refuser,rifiutare,weigeren,recusar,rechazar
5619,cord,Kordel,corde,corda,koord,cordão,cordón
5621,cloud,Wolke,nuage,nuvola,wolk,nuvem,nube
5622,facilitate,erleichtern,faciliter,facilitare,vergemakkelijken,facilitar,facilitar
5623,subscriber,Abonnent,abonné,abbonato,abonnee,assinante,suscriptor
5624,valve,Ventil,valve,valvola,ventiel,válvula,válvula
5628,proceed,fortfahren,procéder,procedere,doorgaan,prosseguir,proceder
5631,knife,Messer,couteau,coltello,mes,faca,cuchillo
5634,shelf,Regal,étagère,scaffale,plank,prateleira,estante
5635,bookstore,Buchhandlung,librairie,libreria,boekhandel,livraria,librería
5639,adopt,adoptieren,adopter,adottare,adopteren,adotar,adoptar
5642,incredible,unglaublich,incroyable,incredibile,ongelooflijk,incrível,increíble
5646,donation,Spende,don,donazione,donatie,doação,donación
5648,crop,Ernte,récolte,raccolto,oogst,colheita,cosecha
5652,pharmaceutical,pharmazeutisch,pharmaceutique,farmaceutico,farmaceutisch,farmacêutico,farmacéutico
5662,seeds,Samen,graine,seme,zaad,semente,semilla
5666,hub,Nabe,moyeu,mozzo,naaf,cubo,cubo
5672,founder,Gründer,fondateur,fondatore,oprichter,fundador,fundador
5673,decade,Jahrzehnt,décennie,decennio,decennium,década,década
5676,dispute,Streit,dispute,disputa,geschil,disputa,disputa
5678,tired,müde,fatigué,stanco,moe,cansado,cansado
5680,adverse,ungünstig,défavorable,avverso,ongunstig,adverso,adverso
5685,discharge,Entlassung,décharge,scarico,ontslag,descarga,descarga
5687,drinks,Getränk,boisson,bevanda,drank,bebida,bebida
5690,acute,akut,aigu,acuto,acuut,agudo,agudo
5692,climbing,Klettern,escalade,arrampicata,klimmen,escalada,escalada
5694,sing,singen,chanter,cantare,zingen,cantar,cantar
5696,perfume,Parfüm,parfum,profumo,parfum,perfume,perfume
5698,honest,ehrlich,honnête,onesto,eerlijk,honesto,honesto
5700,hazardous,gefährlich,dangereux,pericoloso,gevaarlijk,perigoso,peligroso
5701,restore,wiederherstellen,restaurer,ripristinare,herstellen,restaurar,restaurar
5702,stack,Stapel,pile,pila,stapel,pilha,pila
5705,sue,verklagen,poursuivre,citare,aanklagen,processar,demandar
5708,reputation,Ruf,réputation,reputazione,reputatie,reputação,reputación
5709,resistant,widerstandsfähig,résistant,resistente,resistent,resistente,resistente
5711,recycling,Recycling,recyclage,riciclaggio,recycling,reciclagem,reciclaje
5712,hang,hängen,suspendre,appendere,hangen,pendurar,colgar
5714,curve,Kurve,courbe,curva,curve,curva,curva
5715,creator,Schöpfer,créateur,creatore,schepper,criador,creador
5718,museums,Museum,musée,museo,museum,museu,museo
5720,slideshow,Diashow,diaporama,presentazione,diavoorstelling,apresentação,presentación
5722,variation,Variation,variation,variazione,variatie,variação,variación
5723,passage,Passage,passage,passaggio,passage,passagem,pasaje
5725,trunk,Kofferraum,coffre,baule,kofferbak,porta-malas,maletero
5726,hiking,Wandern,randonnée,escursionismo,wandelen,caminhada,senderismo
5731,headset,Headset,casque,cuffia,headset,auscultadores,auriculares
5732,photograph,Fotografie,photographie,fotografia,foto,fotografia,fotografía
5735,waves,Welle,vague,onda,golf,onda,ola
5736,camel,Kamel,chameau,cammello,kameel,camelo,camello
5737,distributor,Verteiler,distributeur,distributore,distributeur,distribuidor,distribuidor
5738,lamps,Lampe,lampe,lampada,lamp,candeeiro,lámpara
5740,hood,Kapuze,capuche,cappuccio,capuchon,capuz,capucha
5741,wrestling,Ringen,lutte,lotta,worstelen,luta,lucha
5742,suicide,Selbstmord,suicide,suicidio,zelfmoord,suicídio,suicidio
5749,gathering,Versammlung,rassemblement,riunione,bijeenkomst,reunião,reunión
5750,projection,Projektion,projection,proiezione,projectie,projeção,proyección
5751,juice,Saft,jus,succo,sap,sumo,zumo
5752,chase,verfolgen,poursuivre,inseguire,achtervolgen,perseguir,perseguir
5753,mathematical,mathematisch,mathématique,matematico,wiskundig,matemático,matemático
5754,logical,logisch,logique,logico,logisch,lógico,lógico
5755,sauce,Soße,sauce,salsa,saus,molho,salsa
5758,specialized,spezialisiert,spécialisé,specializzato,gespecialiseerd,especializado,especializado
5759,diagnostic,diagnostisch,diagnostique,diagnostico,diagnostisch,diagnóstico,diagnóstico
5763,payable,zahlbar,payable,pagabile,betaalbaar,pagável,pagadero
5764,corporations,Konzern,société,società,onderneming,empresa,empresa
5765,courtesy,Höflichkeit,courtoisie,cortesia,beleefdheid,cortesia,cortesía
5766,criticism,Kritik,critique,critica,kritiek,crítica,crítica
5767,automobile,Auto,automobile,automobile,auto,automóvel,automóvil
5768,confidential,vertraulich,confidentiel,confidenziale,vertrouwelijk,confidencial,confidencial
5770,statutory,gesetzlich,statutaire,statutario,wettelijk,estatutário,estatutario
5775,judges,Richter,juge,giudice,rechter,juiz,juez
5778,retired,pensioniert,retraité,pensionato,gepensioneerd,reformado,jubilado
5783,paintings,Gemälde,peinture,dipinto,schilderij,pintura,pintura
5787,bracelet,Armband,bracelet,braccialetto,armband,pulseira,pulsera
5789,eggs,Ei,œuf,uovo,ei,ovo,huevo
5790,juvenile,jugendlich,juvénile,giovanile,jeugdig,juvenil,juvenil
5791,injection,Injektion,injection,iniezione,injectie,injeção,inyección
5793,populations,Bevölkerung,population,popolazione,bevolking,população,población
5794,protective,schützend,protecteur,protettivo,beschermend,protetor,protector
5795,afraid,ängstlich,effrayé,spaventato,bang,assustado,asustado
5796,acoustic,akustisch,acoustique,acustico,akoestisch,acústico,acústico
5797,railway,Eisenbahn,chemin de fer,ferrovia,spoorweg,ferrovia,ferrocarril
5798,cassette,Kassette,cassette,cassetta,cassette,cassete,casete
5800,indicator,Indikator,indicateur,indicatore,indicator,indicador,indicador
5805,mistake,Fehler,erreur,errore,fout,erro,error
5808,eliminate,beseitigen,éliminer,eliminare,elimineren,eliminar,eliminar
5810,fusion,Fusion,fusion,fusione,fusie,fusão,fusión
5811,mineral,Mineral,minéral,minerale,mineraal,mineral,mineral
5812,sunglasses,Sonnenbrille,lunettes de soleil,occhiali da sole,zonnebril,óculos de sol,gafas de sol
5815,beads,Perle,perle,perlina,kraal,conta,cuenta
5816,fortune,Vermögen,fortune,fortuna,fortuin,fortuna,fortuna
5817,preference,Vorliebe,préférence,preferenza,voorkeur,preferência,preferencia
5818,canvas,Leinwand,toile,tela,canvas,tela,lienzo
5819,threshold,Schwelle,seuil,soglia,drempel,limiar,umbral
5822,screens,Bildschirm,écran,schermo,scherm,ecrã,pantalla
5823,cemetery,Friedhof,cimetière,cimitero,begraafplaats,cemitério,cementerio
5824,planner,Planer,planificateur,pianificatore,planner,planeador,planificador
5827,stadium,Stadion,stade,stadio,stadion,estádio,estadio
5829,exploration,Erkundung,exploration,esplorazione,verkenning,exploração,exploración
5832,sequences,Sequenz,séquence,sequenza,reeks,sequência,secuencia
5833,coupon,Gutschein,coupon,coupon,coupon,cupão,cupón
5834,nurses,Krankenschwester,infirmière,infermiere,verpleegster,enfermeiro,enfermero
5839,astronomy,Astronomie,astronomie,astronomia,sterrenkunde,astronomia,astronomía
5846,translate,übersetzen,traduire,tradurre,vertalen,traduzir,traducir
5849,costume,Kostüm,costume,costume,kostuum,fantasia,disfraz
5853,killer,Mörder,tueur,assassino,moordenaar,assassino,asesino
5854,bikes,Fahrrad,vélo,bicicletta,fiets,bicicleta,bicicleta
5855,gates,Tor,portail,cancello,poort,portão,puerta
5861,corn,Mais,maïs,mais,maïs,milho,maíz
5864,compression,Kompression,compression,compressione,compressie,compressão,compresión
5865,seasonal,saisonal,saisonnier,stagionale,seizoensgebonden,sazonal,estacional
5867,farmer,Bauer,agriculteur,agricoltore,boer,agricultor,agricultor
5873,tin,Zinn,étain,stagno,tin,estanho,estaño
5874,slave,Sklave,esclave,schiavo,slaaf,escravo,esclavo
5876,cultures,Kultur,culture,cultura,cultuur,cultura,cultura
5880,trek,Wanderung,randonnée,escursione,trektocht,caminhada,caminata
5882,litigation,Rechtsstreit,litige,contenzioso,rechtszaak,litígio,litigio
5885,heroes,Held,héros,eroe,held,herói,héroe
5890,broadcasting,Rundfunk,radiodiffusion,radiodiffusione,omroep,radiodifusão,radiodifusión
5891,horizontal,horizontal,horizontal,orizzontale,horizontaal,horizontal,horizontal
5892,artwork,Kunstwerk,œuvre d'art,opera d'arte,kunstwerk,obra de arte,obra de arte
5893,cosmetic,kosmetisch,cosmétique,cosmetico,cosmetisch,cosmético,cosmético
5895,portrait,Porträt,portrait,ritratto,portret,retrato,retrato
5896,terrorist,Terrorist,terroriste,terrorista,terrorist,terrorista,terrorista
5898,ethical,ethisch,éthique,etico,ethisch,ético,ético
5899,carriers,Spediteur,transporteur,vettore,vervoerder,transportador,transportista
5902,floral,blumig,floral,floreale,bloemig,floral,floral
5905,struggle,Kampf,lutte,lotta,strijd,luta,lucha
5907,suffering,Leiden,souffrance,sofferenza,lijden,sofrimento,sufrimiento
5908,neutral,neutral,neutre,neutro,neutraal,neutro,neutro
5910,rat,Ratte,rat,ratto,rat,rato,rata
5914,bedding,Bettzeug,literie,biancheria da letto,beddengoed,roupa de cama,ropa de cama
5918,artificial,künstlich,artificiel,artificiale,kunstmatig,artificial,artificial
5921,spectacular,spektakulär,spectaculaire,spettacolare,spectaculair,espetacular,espectacular
5922,coordination,Koordination,coordination,coordinazione,coördinatie,coordenação,coordinación
5923,connector,Steckverbinder,connecteur,connettore,connector,conector,conector
5926,seniors,Senior,senior,anziano,senior,idoso,anciano
5928,guilty,schuldig,coupable,colpevole,schuldig,culpado,culpable
5930,activation,Aktivierung,activation,attivazione,activering,ativação,activación
5932,haven,Zufluchtsort,refuge,rifugio,toevluchtsoord,refúgio,refugio
5933,tablet,Tablet,tablette,tablet,tablet,tablet,tableta
5934,jury,Jury,jury,giuria,jury,júri,jurado
5936,tail,Schwanz,queue,coda,staart,cauda,cola
5938,charm,Charme,charme,fascino,charme,charme,encanto
5939,lawn,Rasen,pelouse,prato,gazon,relva,césped
5940,violent,gewalttätig,violent,violento,gewelddadig,violento,violento
5942,underwear,Unterwäsche,sous-vêtement,biancheria intima,ondergoed,roupa interior,ropa interior
5943,basin,Becken,bassin,bacino,bekken,bacia,cuenca
5946,ranch,Ranch,ranch,ranch,ranch,rancho,rancho
5948,crossing,Überquerung,traversée,attraversamento,oversteek,travessia,cruce
5949,inclusive,inklusiv,inclusif,inclusivo,inclusief,inclusivo,inclusivo
5951,cottage,Häuschen,chalet,cottage,huisje,casa de campo,cabaña
5952,drunk,betrunken,ivre,ubriaco,dronken,bêbado,borracho
5953,considerable,beträchtlich,considérable,considerevole,aanzienlijk,considerável,considerable
5957,byte,Byte,octet,byte,byte,byte,byte
5958,toner,Toner,toner,toner,toner,toner,tóner
5959,nose,Nase,nez,naso,neus,nariz,nariz
5960,latex,Latex,latex,lattice,latex,látex,látex
5966,alien,Außerirdischer,extraterrestre,alieno,alien,extraterrestre,extraterrestre
5970,pantyhose,Strumpfhose,collant,collant,panty,collant,panti
5977,complexity,Komplexität,complexité,complessità,complexiteit,complexidade,complejidad
5981,resolve,lösen,résoudre,risolvere,oplossen,resolver,resolver
5983,presidential,präsidentiell,présidentiel,presidenziale,presidentieel,presidencial,presidencial
5984,documentary,Dokumentarfilm,documentaire,documentario,documentaire,documentário,documental
5985,cod,Kabeljau,morue,merluzzo,kabeljauw,bacalhau,bacalao
5989,thesis,These,thèse,tesi,these,tese,tesis
5992,nylon,Nylon,nylon,nylon,nylon,nylon,nailon
5995,rocky,felsig,rocheux,roccioso,rotsachtig,rochoso,rocoso
5997,frequent,häufig,fréquent,frequente,frequent,frequente,frecuente
6000,ceiling,Decke,plafond,soffitto,plafond,teto,techo
6001,pixels,Pixel,pixel,pixel,pixel,pixel,píxel
6003,hispanic,hispanisch,hispanique,ispanico,Spaanstalig,hispânico,hispano
6006,legislature,Gesetzgebung,législature,legislatura,legislatuur,legislatura,legislatura
6007,hospitality,Gastfreundschaft,hospitalité,ospitalità,gastvrijheid,hospitalidade,hospitalidad
6010,procurement,Beschaffung,approvisionnement,approvvigionamento,inkoop,aquisição,adquisición
6011,diamonds,Diamant,diamant,diamante,diamant,diamante,diamante
6013,fleet,Flotte,flotte,flotta,vloot,frota,flota
6018,singing,Gesang,chant,canto,zang,canto,canto
6019,theoretical,theoretisch,théorique,teorico,theoretisch,teórico,teórico
6020,afford,leisten,permettre,permettersi,veroorloven,permitir,permitirse
6025,surveillance,Überwachung,surveillance,sorveglianza,bewaking,vigilância,vigilancia
6027,quit,aufhören,arrêter,smettere,stoppen,parar,dejar
6028,distinct,deutlich,distinct,distinto,onderscheiden,distinto,distinto
6030,lung,Lunge,poumon,polmone,long,pulmão,pulmón
6032,substitute,ersetzen,remplacer,sostituire,vervangen,substituir,sustituir
6035,brilliant,brillant,brillant,brillante,briljant,brilhante,brillante
6042,gel,Gel,gel,gel,gel,gel,gel
6054,termination,Beendigung,résiliation,cessazione,beëindiging,rescisão,terminación
6058,grill,Grill,gril,griglia,grill,grelhador,parrilla
6063,grain,Korn,grain,grano,graan,grão,grano
6065,authentic,authentisch,authentique,autentico,authentiek,autêntico,auténtico
6066,regime,Regime,régime,regime,regime,regime,régimen
6068,wishes,Wunsch,souhait,desiderio,wens,desejo,deseo
6071,architectural,architektonisch,architectural,architettonico,architectonisch,arquitetónico,arquitectónico
6073,depend,abhängen,dépendre,dipendere,afhangen,depender,depender
6074,differ,unterscheiden,différer,differire,verschillen,diferir,diferir
6079,repairs,Reparatur,réparation,riparazione,reparatie,reparação,reparación
6080,breath,Atem,souffle,respiro,adem,respiração,aliento
6085,candle,Kerze,bougie,candela,kaars,vela,vela
6088,authorization,Genehmigung,autorisation,autorizzazione,toestemming,autorização,autorización
6089,tale,Erzählung,conte,racconto,verhaal,conto,cuento
6093,projector,Projektor,projecteur,proiettore,projector,projetor,proyector
6099,herbal,pflanzlich,végétal,erbaceo,kruiden,herbáceo,herbal
6105,psychological,psychologisch,psychologique,psicologico,psychologisch,psicológico,psicológico
6107,retailer,Einzelhändler,détaillant,rivenditore,detailhandelaar,retalhista,minorista
6108,vitamins,Vitamin,vitamine,vitamina,vitamine,vitamina,vitamina
6109,elegant,elegant,élégant,elegante,elegant,elegante,elegante
6111,renewal,Erneuerung,renouvellement,rinnovo,vernieuwing,renovação,renovación
6113,genealogy,Genealogie,généalogie,genealogia,genealogie,genealogia,genealogía
6117,expenditure,Ausgabe,dépense,spesa,uitgave,despesa,gasto
6118,panties,Schlüpfer,culotte,mutandina,slipje,calcinha,braga
6121,sisters,Schwester,sœur,sorella,zus,irmã,hermana
6122,critics,Kritiker,critique,critico,criticus,crítico,crítico
6126,algorithms,Algorithmus,algorithme,algoritmo,algoritme,algoritmo,algoritmo
6127,hacker,Hacker,pirate,hacker,hacker,pirata,pirata
6130,margin,Rand,marge,margine,marge,margem,margen
6131,coin,Münze,pièce,moneta,munt,moeda,moneda
6134,fake,falsch,faux,falso,nep,falso,falso
6135,salon,Salon,salon,salone,salon,salão,salón
6140,turbo,Turbo,turbo,turbo,turbo,turbo,turbo
6142,voters,Wähler,électeur,elettore,kiezer,eleitor,votante
6143,cure,heilen,guérir,curare,genezen,curar,curar
6145,commander,Kommandant,commandant,comandante,commandant,comandante,comandante
6151,suggestion,Vorschlag,suggestion,suggerimento,suggestie,sugestão,sugerencia
6153,soldier,Soldat,soldat,soldato,soldaat,soldado,soldado
6158,bomb,Bombe,bombe,bomba,bom,bomba,bomba
6159,harm,schaden,nuire,danneggiare,schaden,prejudicar,dañar
6160,interval,Intervall,intervalle,intervallo,interval,intervalo,intervalo
6161,mirrors,Spiegel,miroir,specchio,spiegel,espelho,espejo
6162,spotlight,Scheinwerfer,projecteur,riflettore,schijnwerper,holofote,foco
6164,reset,zurücksetzen,réinitialiser,reimpostare,resetten,reiniciar,reiniciar
6165,brush,Bürste,brosse,spazzola,borstel,escova,cepillo
6166,investigate,untersuchen,enquêter,investigare,onderzoeken,investigar,investigar
6171,assault,Angriff,agression,aggressione,aanval,agressão,agresión
6174,logistics,Logistik,logistique,logistica,logistiek,logística,logística
6175,deer,Hirsch,cerf,cervo,hert,veado,ciervo
6177,tongue,Zunge,langue,lingua,tong,língua,lengua
6178,bowling,Bowling,bowling,bowling,bowling,bowling,bolos
6182,monkey,Affe,singe,scimmia,aap,macaco,mono
6183,proportion,Anteil,proportion,proporzione,verhouding,proporção,proporción
6185,skirt,Rock,jupe,gonna,rok,saia,falda
6187,invest,investieren,investir,investire,investeren,investir,invertir
6188,honey,Honig,miel,miele,honing,mel,miel
6192,significance,Bedeutung,importance,importanza,betekenis,significado,significado
6193,scenario,Szenario,scénario,scenario,scenario,cenário,escenario
6197,atomic,atomar,atomique,atomico,atomair,atómico,atómico
6199,symposium,Symposium,symposium,simposio,symposium,simpósio,simposio
6201,gauge,Messgerät,jauge,calibro,meter,medidor,medidor
6203,junction,Kreuzung,jonction,incrocio,kruising,cruzamento,cruce
6207,mat,Matte,tapis,tappetino,mat,tapete,tapete
6214,oven,Ofen,four,forno,oven,forno,horno
6216,intensive,intensiv,intensif,intensivo,intensief,intensivo,intensivo
6220,engage,engagieren,engager,coinvolgere,betrekken,envolver,involucrar
6222,noon,Mittag,midi,mezzogiorno,middag,meio-dia,mediodía
6226,correspondence,Korrespondenz,correspondance,corrispondenza,correspondentie,correspondência,correspondencia
6229,supervision,Aufsicht,supervision,supervisione,toezicht,supervisão,supervisión
6231,bronze,Bronze,bronze,bronzo,brons,bronze,bronce
6234,separation,Trennung,séparation,separazione,scheiding,separação,separación
6235,testimony,Aussage,témoignage,testimonianza,getuigenis,testemunho,testimonio
6239,sender,Absender,expéditeur,mittente,afzender,remetente,remitente
6240,mandatory,obligatorisch,obligatoire,obbligatorio,verplicht,obrigatório,obligatorio
6242,crucial,entscheidend,crucial,cruciale,cruciaal,crucial,crucial
6244,gym,Fitnessstudio,gym,palestra,sportschool,ginásio,gimnasio
6245,celebration,Feier,célébration,celebrazione,viering,celebração,celebración
6247,adjacent,angrenzend,adjacent,adiacente,aangrenzend,adjacente,adyacente
6249,tuition,Studiengebühr,frais de scolarité,retta,collegegeld,propina,matrícula
6250,spouse,Ehepartner,conjoint,coniuge,echtgenoot,cônjuge,cónyuge
6251,exotic,exotisch,exotique,esotico,exotisch,exótico,exótico
6263,laugh,lachen,rire,ridere,lachen,rir,reír
6265,surgical,chirurgisch,chirurgical,chirurgico,chirurgisch,cirúrgico,quirúrgico
6266,destroy,zerstören,détruire,distruggere,vernietigen,destruir,destruir
6267,citation,Zitat,citation,citazione,citaat,citação,cita
6274,offensive,offensiv,offensif,offensivo,offensief,ofensivo,ofensivo
6275,imperial,kaiserlich,impérial,imperiale,keizerlijk,imperial,imperial
6276,dozen,Dutzend,douzaine,dozzina,dozijn,dúzia,docena
6278,deployment,Einsatz,déploiement,dispiegamento,inzet,destacamento,despliegue
6280,cloth,Stoff,tissu,tessuto,stof,tecido,tela
6281,studying,studieren,étudier,studiare,studeren,estudar,estudiar
6282,colleagues,Kollege,collègue,collega,collega,colega,colega
6283,stamp,Briefmarke,timbre,francobollo,postzegel,selo,sello
6285,salmon,Lachs,saumon,salmone,zalm,salmão,salmón
6287,separated,getrennt,séparé,separato,gescheiden,separado,separado
6289,cargo,Fracht,cargaison,carico,vracht,carga,carga
6291,directive,Richtlinie,directive,direttiva,richtlijn,diretiva,directiva
6299,butter,Butter,beurre,burro,boter,manteiga,mantequilla
6300,pepper,Pfeffer,poivre,pepe,peper,pimenta,pimienta
6301,weapon,Waffe,arme,arma,wapen,arma,arma
6302,luggage,Gepäck,bagage,bagaglio,bagage,bagagem,equipaje
6303,burden,Last,fardeau,fardello,last,fardo,carga
6304,chef,Koch,chef,chef,chef-kok,chef,chef
6306,zones,Zone,zone,zona,zone,zona,zona
6307,races,Rennen,course,corsa,race,corrida,carrera
6309,stylish,stilvoll,élégant,elegante,stijlvol,elegante,elegante
6310,slim,schlank,mince,snello,slank,magro,delgado
